u_2,u_3,u_6,P_g2_mw,P_g3_mw,P_g6_mw,P_s8_mw,P_load_total_mw,label,critical_real,critical_imag,slack_power_mw
0,0,1,0.0,0.0,34.67934952843721,93.21212970727726,216.3302856561658,1,0.5908503415647041,3.6055745312357685,92.2426013700509
0,0,1,0.0,0.0,35.09739175308249,44.50763058826466,246.68046731733645,0,-0.1991733812291886,0.0,175.00017645444436
0,0,1,0.0,0.0,36.22179229441163,95.95584059072753,207.85873347718208,1,0.9421542235329974,3.3444797617380355,79.03041391101918
0,0,1,0.0,0.0,31.602120338578445,94.45015841709213,184.85789630857687,1,0.815032225172813,3.2321767362628653,61.18929665950095
0,0,1,0.0,0.0,30.713605575471924,51.48888202713703,241.5341727191603,0,-0.1989831588070178,0.0,166.55487627214256
0,0,1,0.0,0.0,39.171677731928526,94.51690501796404,247.96487052658674,1,0.7004649273861284,3.7688077742976485,120.0794495477969
0,0,1,0.0,0.0,34.96873435393504,92.99005968810933,180.54299410831513,1,0.651281053765872,3.2863622076654315,54.702369743852074
0,0,1,0.0,0.0,31.924021439853107,94.76812848352736,205.8854344935345,1,0.8077639910721046,3.4200286092898864,82.5429951831533
0,0,1,0.0,0.0,40.195816197368465,84.71502463658693,264.82283814702583,0,-0.19636751337100258,0.0,147.0917838451651
0,0,1,0.0,0.0,37.41770947361857,92.36598242025218,251.5923237051523,1,0.4352345508828478,3.9040621680467322,127.95689487718805
0,0,1,0.0,0.0,35.0777223630035,95.48535750677152,227.44886200088024,1,0.857677215049107,3.5553419638905304,101.41296162025364
0,0,1,0.0,0.0,35.98184067207213,92.23700656938202,230.987940345082,1,0.44533733120774677,3.76521473106436,107.43431316305951
0,0,1,0.0,0.0,37.58892343100625,97.87478844112216,258.1486850358841,1,1.1739542344072773,3.5855356744001483,129.5323742808794
0,0,1,0.0,0.0,36.050562538298514,94.55198632315333,269.7531517245524,1,0.7291061909573977,3.9220976146022215,147.05427579784183
0,0,1,0.0,0.0,31.507880191683686,93.76125386875275,211.11427495675863,1,0.6767088619621431,3.5332071423745757,89.47356880299269
0,0,1,0.0,0.0,34.3000807471176,67.1765162611285,219.28238333612083,0,-0.19844684617609543,0.0,122.20909817645456
0,0,1,0.0,0.0,38.740770261495044,94.64885895335381,196.6254747977908,1,0.7987068087057082,3.336731564060534,65.94935675335432
0,0,1,0.0,0.0,35.69719147859277,92.58183981504371,204.79245029464957,1,0.537381837741871,3.5397368275205934,79.6458122808952
0,0,1,0.0,0.0,48.55811369489049,55.23264876672638,203.1937563418129,0,-0.1990169889603419,0.0,102.73970876484913
0,0,1,0.0,0.0,38.8405689419647,94.56628682088993,255.42436551987453,1,0.7070265454264467,3.8183953943069553,128.44855044527742
0,0,1,0.0,0.0,33.7628783612992,93.64382112862852,211.10424212615723,1,0.6555035576448008,3.5381852150479984,87.2438767504502
0,0,1,0.0,0.0,30.38057286691239,95.50487523243709,241.73874970078796,1,0.8747150777431565,3.6738333241073002,121.6349942414422
0,0,1,0.0,0.0,30.503937416035207,37.218527256520396,183.03361651223548,0,-0.1995473627406832,0.0,118.9533818708178
0,0,1,0.0,0.0,31.228921022050095,95.86859294158947,267.2446451857694,1,0.9383160754356668,3.831866599666261,148.1561950796458
